city,days,avg_aqi,min_aqi,max_aqi,avg_pm25,avg_pm10
Ahmedabad,1382,451.84144602026055,48.0,2049.0,67.85449674149167,114.58402948402947
Aizawl,113,39.06543067846608,18.0,500.0,17.13,23.352857142857143
Amaravati,896,94.28792254464285,22.96,312.0,37.773217488789236,76.3620200892857
Amritsar,1177,123.13076174759819,20.0,869.0,55.46833485818847,115.2025993091537
Bengaluru,1925,96.59893651948052,20.0,500.0,35.81982823403113,83.2432868405094
Bhopal,280,132.34325857142858,37.0,312.0,50.05957142857143,119.32432142857142
Brajrajnagar,775,154.92051178908187,12.24,500.0,64.05760956175298,124.2173725490196
Chandigarh,304,100.3207644736842,26.0,500.0,41.13024221453287,85.65654605263158
Chennai,1892,117.41014799154334,30.0,500.0,50.42561310782241,62.834403973509936
Coimbatore,380,73.97240649122807,4.83,500.0,29.1515873015873,37.982137203166225
Delhi,2007,260.30338584952665,29.0,716.0,117.19615346287992,232.8092287784679
Ernakulam,158,91.30914303797469,26.94,180.0,24.944746835443038,48.3356329113924
Gurugram,1525,238.68120321311477,38.0,891.0,117.10400655737703,191.50443243243242
Guwahati,502,142.0842235493922,25.0,956.0,63.68542914171657,116.60490039840639
Hyderabad,1893,109.2551205493925,21.44,737.0,47.0353569539926,91.93153240460326
Jaipur,1102,133.3425054446461,43.0,457.0,54.50070780399274,123.48350909090908
Jorapokhar,896,199.48816406249998,27.0,604.0,64.22891820580475,149.65794183445192
Kochi,162,104.23752283950617,42.51,277.0,31.42851851851852,67.33543209876544
Kolkata,759,139.94031989459816,7.12,475.0,64.3628326745718,115.62949934123846
Lucknow,1907,220.5207131620346,39.0,707.0,109.71405873099108,
Mumbai,784,106.21170765306123,38.84,500.0,35.198392857142856,96.74505897771952
Patna,1537,254.64606376057253,53.0,619.0,123.49856213402734,126.74795811518325
Shillong,251,72.357873327204,3.45,500.0,30.8239837398374,42.19917012448133
Talcher,771,182.87528912667534,13.0,570.0,61.405425101214576,165.77270777479893
Thiruvananthapuram,1077,75.05737239244816,10.5,230.0,28.036616822429906,52.86365921787709
Visakhapatnam,1237,116.5295306925357,21.41,500.0,46.96961038961039,105.95135399673735
